%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1528473238152320224,0,1528473238151963820,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238174395246,0,1528473238174023276,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238232242755,0,1528473238231826618,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238254971333,0,1528473238254149382,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238314305263,0,1528473238313914660,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238372324133,0,1528473238371830853,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238394510763,0,1528473238393941246,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238454267125,0,1528473238453837256,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238513984924,0,1528473238513708268,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238572944754,0,1528473238572666501,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238594008916,0,1528473238593655656,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238653922338,0,1528473238653586005,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238713025560,0,1528473238712660265,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238733951420,0,1528473238733586547,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238793274264,0,1528473238792821002,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238853008064,0,1528473238852531342,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238910950362,0,1528473238910569622,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473238933082080,0,1528473238932700789,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
