%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1528472874766612940,0,1528472874766184510,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472874825503976,0,1528472874825048784,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472874883346001,0,1528472874882976398,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472874905438836,0,1528472874904973732,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472874966071343,0,1528472874965359918,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875023409474,0,1528472875022962657,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875045259566,0,1528472875044908901,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875105180649,0,1528472875104788046,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875165876482,0,1528472875164957718,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875225215960,0,1528472875224804384,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875285367927,0,1528472875284895555,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875343988543,0,1528472875343635196,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875365019311,0,1528472875364719598,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875424039085,0,1528472875423652797,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875484001077,0,1528472875483651519,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875542029449,0,1528472875541611223,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875564061332,0,1528472875563691346,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875622071797,0,1528472875621655615,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875644165322,0,1528472875643754903,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875703871969,0,1528472875703541640,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875762271895,0,1528472875761733836,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875783922255,0,1528472875783519684,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875842882952,0,1528472875842530848,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875863851186,0,1528472875863533085,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875923766811,0,1528472875923411289,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472875982885488,0,1528472875982400778,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876040785894,0,1528472876040367402,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876062789802,0,1528472876062432902,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876123001617,0,1528472876122561519,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876182743721,0,1528472876182305397,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876242861422,0,1528472876242434822,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876302678961,0,1528472876302274210,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876361792501,0,1528472876361394737,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876382668141,0,1528472876382271168,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876441699396,0,1528472876441281821,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876499924814,0,1528472876499324802,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876522670557,0,1528472876522302310,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876581350384,0,1528472876581122565,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876641656182,0,1528472876641227751,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876699528543,0,1528472876699125135,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876721502216,0,1528472876721153314,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876779454943,0,1528472876779019251,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876801410333,0,1528472876801061437,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876861583689,0,1528472876861151485,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876921424250,0,1528472876921061552,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472876980566502,0,1528472876980125593,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472877038236005,0,1528472877037860331,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472877061305651,0,1528472877060971388,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472877120477872,0,1528472877119979771,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472877178295989,0,1528472877177868295,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472877200161025,0,1528472877199822212,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528472877260228681,0,1528472877259813427,odom,base_footprint,0.000213230220834,0.0,0.0,0.0,0.0,0.0,1.0
1528472877320138884,0,1528472877319767931,odom,base_footprint,0.00200436407584,0.0,0.0,0.0,0.0,0.0,1.0
